Company,Role,Topic,Sub-topic,Round,Question
TechMojo,Business / Data Analyst,Python,Data Manipulation / Pandas / EDA,Technical Round,How do you detect and remove duplicate rows in a pandas DataFrame?
TechMojo,Business / Data Analyst,Python,Data Manipulation / Pandas / EDA,Technical Round,"Explain merge(), join(), and concat() in pandas. When would you use each?"
TechMojo,Business / Data Analyst,Python,Data Manipulation / Pandas / EDA,Technical Round,How would you calculate a 7-day rolling average of daily sales in a DataFrame?
TechMojo,Business / Data Analyst,Python,Data Manipulation / Pandas / EDA,Technical Round,"Write code to group a sales DataFrame by region and product, and find top-3 products per region."
TechMojo,Business / Data Analyst,Python,Data Manipulation / Pandas / EDA,Technical Round,"What is the difference between apply(), map(), and applymap() in pandas?"
TechMojo,Business / Data Analyst,Python,Data Manipulation / Pandas / EDA,Technical Round,How would you pivot a long-format DataFrame to wide format? Explain pivot_table() vs pivot().
TechMojo,Business / Data Analyst,Python,Data Manipulation / Pandas / EDA,Technical Round,"Write a function to perform EDA on a dataset: shape, dtypes, missing %, summary stats, value_counts."
TechMojo,Business / Data Analyst,Python,Data Manipulation / Pandas / EDA,Technical Round,How would you visualize correlation between numeric features using seaborn/matplotlib?
TechMojo,Business / Data Analyst,Business Analytics,KPIs / Problem Framing / Reporting,Technical Round,A business stakeholder says 'our revenue dropped 20% last month.' Walk through how you'd investigate this.
TechMojo,Business / Data Analyst,Business Analytics,KPIs / Problem Framing / Reporting,Technical Round,How do you translate an ambiguous business question into a measurable data problem?
TechMojo,Business / Data Analyst,Business Analytics,KPIs / Problem Framing / Reporting,Technical Round,Define KPIs you would track for a B2B SaaS product. How would you build a dashboard for these?
TechMojo,Business / Data Analyst,Business Analytics,KPIs / Problem Framing / Reporting,Technical Round,"What is the difference between descriptive, diagnostic, predictive, and prescriptive analytics?"
TechMojo,Business / Data Analyst,Business Analytics,KPIs / Problem Framing / Reporting,Technical Round,How would you design a data pipeline from raw event logs to a business-ready dashboard?
TechMojo,Business / Data Analyst,Business Analytics,KPIs / Problem Framing / Reporting,Technical Round,A report shows two different revenue numbers from two teams. How do you resolve conflicting data?
TechMojo,Business / Data Analyst,Business Analytics,KPIs / Problem Framing / Reporting,Technical Round,What is a 'single source of truth' and how would you establish one in a growing company?
TechMojo,Business / Data Analyst,Business Analytics,KPIs / Problem Framing / Reporting,Technical Round,Explain cohort analysis. When and why would you use it?
TechMojo,Business / Data Analyst,Business Analytics,KPIs / Problem Framing / Reporting,Technical Round,You have a dataset of customer transactions. How would you identify potential churn?
TechMojo,Business / Data Analyst,Business Analytics,KPIs / Problem Framing / Reporting,Technical Round,How do you prioritize competing requests from 4 business teams when you have capacity for 2?
TechMojo,Business / Data Analyst,Behavioral,Situational / Cultural Fit,HR Round,"Walk me through your most impactful data/analytics project — problem, approach, and measurable outcome."
TechMojo,Business / Data Analyst,Behavioral,Situational / Cultural Fit,HR Round,Tell me about a time you had to communicate a complex finding to a non-technical stakeholder.
TechMojo,Business / Data Analyst,Behavioral,Situational / Cultural Fit,HR Round,Describe a situation where your data analysis led to a business decision being changed.
TechMojo,Business / Data Analyst,Behavioral,Situational / Cultural Fit,HR Round,How do you stay updated with trends in data analytics and BI tools?
TechMojo,Business / Data Analyst,Behavioral,Situational / Cultural Fit,HR Round,Why are you making this transition / switching companies? What are you looking for next?
Authority Entrepreneurs,Backend Developer,Backend Concepts,Databases / APIs / Architecture,Technical Round 1,What is the difference between SQL and NoSQL databases? When would you choose one over the other?
Authority Entrepreneurs,Backend Developer,Backend Concepts,Databases / APIs / Architecture,Technical Round 1,Explain RESTful API design principles. What makes an API truly RESTful?
Authority Entrepreneurs,Backend Developer,Backend Concepts,Databases / APIs / Architecture,Technical Round 1,"What are ACID properties? Explain each: Atomicity, Consistency, Isolation, Durability."
Authority Entrepreneurs,Backend Developer,Backend Concepts,Databases / APIs / Architecture,Technical Round 1,What is the difference between HTTP and HTTPS? How does SSL/TLS work?
Authority Entrepreneurs,Backend Developer,Backend Concepts,Databases / APIs / Architecture,Technical Round 1,Explain the difference between synchronous and asynchronous programming with a backend example.
Authority Entrepreneurs,Backend Developer,Backend Concepts,Databases / APIs / Architecture,Technical Round 1,What is a race condition? How do you prevent it using locks or transactions?
Authority Entrepreneurs,Backend Developer,Backend Concepts,Databases / APIs / Architecture,Technical Round 1,What is the N+1 query problem? How would you resolve it using JOIN or eager loading?
Authority Entrepreneurs,Backend Developer,Backend Concepts,Databases / APIs / Architecture,Technical Round 1,Explain the difference between authentication and authorization. How do you implement each?
Authority Entrepreneurs,Backend Developer,Backend Concepts,Databases / APIs / Architecture,Technical Round 1,What is JWT? How does token-based authentication work?
Authority Entrepreneurs,Backend Developer,Backend Concepts,Databases / APIs / Architecture,Technical Round 1,What is the difference between monolithic and microservices architecture? What are the trade-offs?
Authority Entrepreneurs,Backend Developer,Backend Concepts,Databases / APIs / Architecture,Technical Round 1,Explain the CAP theorem. Can a distributed system guarantee all three?
Authority Entrepreneurs,Backend Developer,Backend Concepts,Databases / APIs / Architecture,Technical Round 1,What is database sharding? How does it differ from partitioning and replication?
Authority Entrepreneurs,Backend Developer,Backend Concepts,Databases / APIs / Architecture,Technical Round 1,How do you handle database connection pooling and why is it important?
Authority Entrepreneurs,Backend Developer,Backend Concepts,Databases / APIs / Architecture,Technical Round 1,What are database indexes? How do you decide which columns to index?
Authority Entrepreneurs,Backend Developer,Backend Concepts,Databases / APIs / Architecture,Technical Round 1,"Explain the difference between eager loading, lazy loading, and batch loading in ORM contexts."
Authority Entrepreneurs,Backend Developer,Security,Auth / API Security / Attack Prevention,Technical Round 1,What is SQL Injection? Show a vulnerable query and explain how to prevent it.
Authority Entrepreneurs,Backend Developer,Security,Auth / API Security / Attack Prevention,Technical Round 1,What is XSS (Cross-Site Scripting)? How do you prevent it in a backend API?
Authority Entrepreneurs,Backend Developer,Security,Auth / API Security / Attack Prevention,Technical Round 1,What is CSRF (Cross-Site Request Forgery)? How do you implement CSRF tokens?
Authority Entrepreneurs,Backend Developer,Security,Auth / API Security / Attack Prevention,Technical Round 1,"Explain OAuth 2.0 flows: Authorization Code, Client Credentials, Implicit."
Authority Entrepreneurs,Backend Developer,Security,Auth / API Security / Attack Prevention,Technical Round 1,What is Role-Based Access Control (RBAC)? How would you implement it in a REST API?
Authority Entrepreneurs,Backend Developer,Security,Auth / API Security / Attack Prevention,Technical Round 1,How would you design a login API that remains secure even if the SSL certificate is compromised?
Authority Entrepreneurs,Backend Developer,Security,Auth / API Security / Attack Prevention,Technical Round 1,What is cyclomatic complexity? How does it relate to code quality and testability?
Authority Entrepreneurs,Backend Developer,Security,Auth / API Security / Attack Prevention,Technical Round 1,How do you rate-limit an API? Explain token bucket and leaky bucket algorithms.
Authority Entrepreneurs,Backend Developer,Security,Auth / API Security / Attack Prevention,Technical Round 1,How would you protect a backend API against DDoS attacks?
Authority Entrepreneurs,Backend Developer,Security,Auth / API Security / Attack Prevention,Technical Round 1,What is CORS? How do you configure it properly for a production API?
Authority Entrepreneurs,Backend Developer,System Design,Scalability / Architecture / DevOps,Technical Round 2,Design a URL shortener service. Explain your choice of data store and hashing strategy.
Authority Entrepreneurs,Backend Developer,System Design,Scalability / Architecture / DevOps,Technical Round 2,How would you design an API whose response aggregates data from 3 different microservices?
Authority Entrepreneurs,Backend Developer,System Design,Scalability / Architecture / DevOps,Technical Round 2,How would you design a scalable notification system using event-driven architecture?
Authority Entrepreneurs,Backend Developer,System Design,Scalability / Architecture / DevOps,Technical Round 2,"Explain message queues. Compare Kafka, RabbitMQ, and AWS SQS."
Authority Entrepreneurs,Backend Developer,System Design,Scalability / Architecture / DevOps,Technical Round 2,How do you handle database migrations in production without downtime?
Authority Entrepreneurs,Backend Developer,System Design,Scalability / Architecture / DevOps,Technical Round 2,What is the difference between horizontal and vertical scaling?
Authority Entrepreneurs,Backend Developer,System Design,Scalability / Architecture / DevOps,Technical Round 2,"Explain caching strategies: cache-aside, read-through, write-through, write-behind."
Authority Entrepreneurs,Backend Developer,System Design,Scalability / Architecture / DevOps,Technical Round 2,How do you implement idempotency in a payment processing API?
Authority Entrepreneurs,Backend Developer,System Design,Scalability / Architecture / DevOps,Technical Round 2,Design a logging and monitoring strategy for a production backend service.
Authority Entrepreneurs,Backend Developer,System Design,Scalability / Architecture / DevOps,Technical Round 2,Describe your CI/CD pipeline. What tools have you used and how do you handle rollbacks?
Authority Entrepreneurs,Backend Developer,DSA,Arrays / Linked Lists / Math,Coding Round,Detect a cycle in a singly linked list.
Authority Entrepreneurs,Backend Developer,DSA,Arrays / Linked Lists / Math,Coding Round,Find the missing number in an array of 1 to N.
Authority Entrepreneurs,Backend Developer,DSA,Arrays / Linked Lists / Math,Coding Round,"Write a function to compute power(a, b) in O(log b) using binary exponentiation."
Authority Entrepreneurs,Backend Developer,DSA,Arrays / Linked Lists / Math,Coding Round,Sort a string of space-separated numbers in ascending order by the digit sum.
Authority Entrepreneurs,Backend Developer,DSA,Arrays / Linked Lists / Math,Coding Round,"Given N integers, find the maximum number of chunks where max(chunk[i]) < min(chunk[i+1])."
Authority Entrepreneurs,Backend Developer,Behavioral,Situational / Cultural Fit,HR Round,Tell me about a complex backend bug you debugged. What was your step-by-step process?
Authority Entrepreneurs,Backend Developer,Behavioral,Situational / Cultural Fit,HR Round,Describe a time you had to refactor legacy code without breaking production.
Authority Entrepreneurs,Backend Developer,Behavioral,Situational / Cultural Fit,HR Round,How do you collaborate with frontend developers and product managers to define API contracts?
Authority Entrepreneurs,Backend Developer,Behavioral,Situational / Cultural Fit,HR Round,Describe a time you made a high-stakes decision under pressure with limited information.
Authority Entrepreneurs,Backend Developer,Behavioral,Situational / Cultural Fit,HR Round,How do you keep yourself up to date with the latest backend technologies and security practices?
Authority Entrepreneurs,Data Analyst,SQL,Window Functions / Aggregation / Schema,Technical Round,"Write a query to find customers who placed orders in the last 30 days, ranked by total revenue."
Authority Entrepreneurs,Data Analyst,SQL,Window Functions / Aggregation / Schema,Technical Round,Find the top 3 products by revenue in each category using window functions.
Authority Entrepreneurs,Data Analyst,SQL,Window Functions / Aggregation / Schema,Technical Round,Write a query to calculate a 7-day rolling average of daily orders.
Authority Entrepreneurs,Data Analyst,SQL,Window Functions / Aggregation / Schema,Technical Round,Identify users who placed their first order in January and returned in February — retention rate.
Authority Entrepreneurs,Data Analyst,SQL,Window Functions / Aggregation / Schema,Technical Round,Write a query to find months with revenue higher than the previous month using LAG().
Authority Entrepreneurs,Data Analyst,SQL,Window Functions / Aggregation / Schema,Technical Round,Identify duplicate customer records based on email; keep only the most recent.
Authority Entrepreneurs,Data Analyst,SQL,Window Functions / Aggregation / Schema,Technical Round,Write a query to produce a sales report pivoted by quarter per product.
Authority Entrepreneurs,Data Analyst,SQL,Window Functions / Aggregation / Schema,Technical Round,Explain the difference between correlated and non-correlated subqueries.
Authority Entrepreneurs,Data Analyst,SQL,Window Functions / Aggregation / Schema,Technical Round,Write a query to find the second purchase date for each customer using LAG() or subqueries.
Authority Entrepreneurs,Data Analyst,SQL,Window Functions / Aggregation / Schema,Technical Round,What is the difference between a star schema and a snowflake schema?
Authority Entrepreneurs,Data Analyst,Statistics,Descriptive / Hypothesis Testing / Regression,Technical Round,"What is the difference between mean, median, and mode? When is median preferable over mean?"
Authority Entrepreneurs,Data Analyst,Statistics,Descriptive / Hypothesis Testing / Regression,Technical Round,Explain p-value and statistical significance. How do you interpret a p-value of 0.03?
Authority Entrepreneurs,Data Analyst,Statistics,Descriptive / Hypothesis Testing / Regression,Technical Round,What is A/B testing? How would you design one to evaluate a new landing page?
Authority Entrepreneurs,Data Analyst,Statistics,Descriptive / Hypothesis Testing / Regression,Technical Round,What is the difference between Type I error (false positive) and Type II error (false negative)?
Authority Entrepreneurs,Data Analyst,Statistics,Descriptive / Hypothesis Testing / Regression,Technical Round,Explain confidence intervals. How is a 95% CI different from a 99% CI?
Authority Entrepreneurs,Data Analyst,Statistics,Descriptive / Hypothesis Testing / Regression,Technical Round,What is the difference between correlation and causation? Give a spurious correlation example.
Authority Entrepreneurs,Data Analyst,Statistics,Descriptive / Hypothesis Testing / Regression,Technical Round,What are outliers? How do you detect them using z-score and IQR? When do you remove them?
Authority Entrepreneurs,Data Analyst,Statistics,Descriptive / Hypothesis Testing / Regression,Technical Round,Explain the Central Limit Theorem. Why is it important for hypothesis testing?
Authority Entrepreneurs,Data Analyst,Statistics,Descriptive / Hypothesis Testing / Regression,Technical Round,What is linear regression? What assumptions does it make? How do you validate them?
Flipkart,Data Analyst,SQL,Joins / Aggregation / NULL Handling,Technical Round 1,How do you concatenate two strings in SQL? Write an example.
Flipkart,Data Analyst,SQL,Joins / Aggregation / NULL Handling,Technical Round 1,"What are the different types of SQL commands? Explain DDL, DML, DCL, TCL."
Flipkart,Data Analyst,SQL,Joins / Aggregation / NULL Handling,Technical Round 1,How do you join two tables? Explain each JOIN type with an e-commerce scenario.
Flipkart,Data Analyst,SQL,Joins / Aggregation / NULL Handling,Technical Round 1,What is a pivot table in SQL? Write a query to pivot monthly sales by category.
Flipkart,Data Analyst,SQL,Joins / Aggregation / NULL Handling,Technical Round 1,Write a query to find the second-highest salary from an employee table without LIMIT.
Flipkart,Data Analyst,SQL,Joins / Aggregation / NULL Handling,Technical Round 1,Write a query using LEFT JOIN to find customers who have never placed an order.
Flipkart,Data Analyst,SQL,Joins / Aggregation / NULL Handling,Technical Round 1,Explain NULL in SQL. How does NULL behave in WHERE conditions and aggregate functions?
Flipkart,Data Analyst,SQL,Joins / Aggregation / NULL Handling,Technical Round 1,Write a query to count the number of orders per customer in the last 90 days.
Flipkart,Data Analyst,SQL,Joins / Aggregation / NULL Handling,Technical Round 1,"What is the difference between COUNT(*), COUNT(column), and COUNT(DISTINCT column)?"
Flipkart,Data Analyst,SQL,Joins / Aggregation / NULL Handling,Technical Round 1,Write a query to find the top 5 selling products by total revenue.
Flipkart,Data Analyst,SQL,Joins / Aggregation / NULL Handling,Technical Round 1,How do you handle NULL values in SQL? Use COALESCE and ISNULL with examples.
Flipkart,Data Analyst,SQL,Window Functions / Schema Design / KPIs,Technical Round 2,Write a query using RANK() and DENSE_RANK() to rank products by monthly revenue.
Flipkart,Data Analyst,SQL,Window Functions / Schema Design / KPIs,Technical Round 2,Write a query to find the month-over-month percentage change in GMV using LAG().
Flipkart,Data Analyst,SQL,Window Functions / Schema Design / KPIs,Technical Round 2,"Design a database schema for Flipkart: Users, Products, Orders, OrderItems, Payments."
Flipkart,Data Analyst,SQL,Window Functions / Schema Design / KPIs,Technical Round 2,What indexes would you create on an Orders table to speed up customer order history queries?
Flipkart,Data Analyst,SQL,Window Functions / Schema Design / KPIs,Technical Round 2,Write a query to find customers who purchased in January but not in February (churned users).
Flipkart,Data Analyst,SQL,Window Functions / Schema Design / KPIs,Technical Round 2,Calculate the repeat purchase rate: % of customers who placed more than one order in a month.
Flipkart,Data Analyst,SQL,Window Functions / Schema Design / KPIs,Technical Round 2,"Write a query to find the average order value (AOV) per category, excluding orders below Rs 100."
Flipkart,Data Analyst,SQL,Window Functions / Schema Design / KPIs,Technical Round 2,Write a query for a 30-day cohort retention analysis from a user purchases table.
Flipkart,Data Analyst,SQL,Window Functions / Schema Design / KPIs,Technical Round 2,Write a query to detect products that sold more than 500 units in a single day.
Flipkart,Data Analyst,SQL,Window Functions / Schema Design / KPIs,Technical Round 2,Write a query to calculate conversion rate by category from a views + purchases table.
Flipkart,Data Analyst,SQL,Window Functions / Schema Design / KPIs,Technical Round 2,Explain OLTP vs OLAP. Why does Flipkart's analytics team not query the production database?
Flipkart,Data Analyst,SQL,Window Functions / Schema Design / KPIs,Technical Round 2,What is a star schema? Design a Flipkart sales data warehouse — fact and dimension tables.
Flipkart,Data Analyst,Excel / Python,Excel Formulas / Python Basics / Pandas / Visualization,Technical Round 2,What is a variable in Python? Give examples of different data types.
Flipkart,Data Analyst,Excel / Python,Excel Formulas / Python Basics / Pandas / Visualization,Technical Round 2,What is the difference between a list and a tuple in Python?
Flipkart,Data Analyst,Excel / Python,Excel Formulas / Python Basics / Pandas / Visualization,Technical Round 2,What is a VLOOKUP? When would you use INDEX-MATCH instead?
Flipkart,Data Analyst,Excel / Python,Excel Formulas / Python Basics / Pandas / Visualization,Technical Round 2,How do you create a PivotTable in Excel to summarize Flipkart daily sales by category and region?
Flipkart,Data Analyst,Excel / Python,Excel Formulas / Python Basics / Pandas / Visualization,Technical Round 2,What Excel function concatenates first name and last name columns?
Flipkart,Data Analyst,Excel / Python,Excel Formulas / Python Basics / Pandas / Visualization,Technical Round 2,How do you use SUMIF and COUNTIF? Give an e-commerce example for each.
Flipkart,Data Analyst,Excel / Python,Excel Formulas / Python Basics / Pandas / Visualization,Technical Round 2,Explain the difference between absolute and relative cell references in Excel formulas.
Flipkart,Data Analyst,Excel / Python,Excel Formulas / Python Basics / Pandas / Visualization,Technical Round 2,How would you clean and transform a raw CSV of customer orders in Python (pandas)?
Flipkart,Data Analyst,Excel / Python,Excel Formulas / Python Basics / Pandas / Visualization,Technical Round 2,Write Python code to identify customers with no purchase in the last 60 days from a DataFrame.
Flipkart,Data Analyst,Excel / Python,Excel Formulas / Python Basics / Pandas / Visualization,Technical Round 2,How would you visualize weekly sales trends using matplotlib or seaborn?
Flipkart,Data Analyst,Excel / Python,Excel Formulas / Python Basics / Pandas / Visualization,Technical Round 2,Write a Python function to flag orders where quantity > 2 standard deviations above the mean.
Flipkart,Data Analyst,Business / Domain,E-commerce KPIs / Case Studies / Supply Chain,Managerial Round,What are the key KPIs you would track for an e-commerce marketplace like Flipkart? Name at least 8.
Flipkart,Data Analyst,Business / Domain,E-commerce KPIs / Case Studies / Supply Chain,Managerial Round,"How would you measure the success of a new feature (e.g., Buy Now Pay Later) launched on Flipkart?"
Flipkart,Data Analyst,Business / Domain,E-commerce KPIs / Case Studies / Supply Chain,Managerial Round,Flipkart sees a sudden 30% drop in app sessions on a Thursday. How do you investigate this?
Flipkart,Data Analyst,Business / Domain,E-commerce KPIs / Case Studies / Supply Chain,Managerial Round,How would you analyze customer behaviour to reduce cart abandonment on Flipkart?
Flipkart,Data Analyst,Business / Domain,E-commerce KPIs / Case Studies / Supply Chain,Managerial Round,Explain the concept of GMV vs revenue. Why is GMV not the same as Flipkart's actual revenue?
Flipkart,Data Analyst,Business / Domain,E-commerce KPIs / Case Studies / Supply Chain,Managerial Round,How would you use data to optimize Flipkart's supply chain and reduce delivery delays?
Flipkart,Data Analyst,Business / Domain,E-commerce KPIs / Case Studies / Supply Chain,Managerial Round,What metrics would you monitor for Flipkart's Big Billion Days sale?
Flipkart,Data Analyst,Business / Domain,E-commerce KPIs / Case Studies / Supply Chain,Managerial Round,A product category has high views but low conversions. What analysis would you do?
Flipkart,Data Analyst,Business / Domain,E-commerce KPIs / Case Studies / Supply Chain,Managerial Round,"How would you segment Flipkart's customers using RFM analysis (Recency, Frequency, Monetary)?"
Flipkart,Data Analyst,Business / Domain,E-commerce KPIs / Case Studies / Supply Chain,Managerial Round,"Analyze a dataset: customer_id, order_date, order_value, return_flag. Identify key insights and anomalies."
Flipkart,Data Analyst,Behavioral,Situational / Cultural Fit,HR Round,Tell me about yourself and your experience in data analysis.
Flipkart,Data Analyst,Behavioral,Situational / Cultural Fit,HR Round,Why do you want to join Flipkart?
Flipkart,Data Analyst,Behavioral,Situational / Cultural Fit,HR Round,Describe a time you used data to influence a key business decision.
Flipkart,Data Analyst,Behavioral,Situational / Cultural Fit,HR Round,How do you handle conflicting priorities from multiple stakeholders?
Lognormal Analytics,Data Analyst,SQL,Retention / Cohorts / Advanced Queries,Technical Round,Write a SQL query to detect overlapping subscription periods for the same customer.
Lognormal Analytics,Data Analyst,SQL,Retention / Cohorts / Advanced Queries,Technical Round,"Find the top 3 customers by lifetime revenue, broken down by quarter using window functions."
Lognormal Analytics,Data Analyst,SQL,Retention / Cohorts / Advanced Queries,Technical Round,"Write a query to calculate 7-day, 30-day, and 90-day retention from a user_events table."
Lognormal Analytics,Data Analyst,SQL,Retention / Cohorts / Advanced Queries,Technical Round,"Given ad_impressions and ad_clicks tables, calculate CTR per ad and flag anomalies (CTR > 50%)."
Lognormal Analytics,Data Analyst,SQL,Retention / Cohorts / Advanced Queries,Technical Round,"Build a monthly cohort table showing Month 0, Month 1, Month 2... retention percentages."
Lognormal Analytics,Data Analyst,SQL,Retention / Cohorts / Advanced Queries,Technical Round,Write a query to detect days where revenue dropped more than 20% from the prior day.
Lognormal Analytics,Data Analyst,SQL,Retention / Cohorts / Advanced Queries,Technical Round,Explain the difference between a fact table and a dimension table. Design an analytics warehouse schema.
Lognormal Analytics,Data Analyst,SQL,Retention / Cohorts / Advanced Queries,Technical Round,What is the difference between a materialized view and a regular view?
Lognormal Analytics,Data Analyst,SQL,Retention / Cohorts / Advanced Queries,Technical Round,Write a query to find the score closest to a benchmark — handle ties.
Lognormal Analytics,Data Analyst,SQL,Retention / Cohorts / Advanced Queries,Technical Round,What is denormalization and when would an analytics team intentionally use it?
Lognormal Analytics,Data Analyst,Statistics,Probability / Hypothesis Testing / Regression,Technical Round,What probability distribution would you use to model call centre call durations? Justify your answer (hint: lognormal).
Lognormal Analytics,Data Analyst,Statistics,Probability / Hypothesis Testing / Regression,Technical Round,"Explain the difference between univariate, bivariate, and multivariate analysis."
Lognormal Analytics,Data Analyst,Statistics,Probability / Hypothesis Testing / Regression,Technical Round,"Bayes' Theorem: 1% of people have disease X. A test is 95% accurate. If you test positive, what is the probability you actually have it?"
Lognormal Analytics,Data Analyst,Statistics,Probability / Hypothesis Testing / Regression,Technical Round,When would you choose a Mann-Whitney U test over a t-test? What makes a test non-parametric?
Lognormal Analytics,Data Analyst,Statistics,Probability / Hypothesis Testing / Regression,Technical Round,What is multicollinearity? How do you detect and handle it in a regression model?
Lognormal Analytics,Data Analyst,Statistics,Probability / Hypothesis Testing / Regression,Technical Round,"How do you validate a regression model? Explain R², Adjusted R², RMSE, and MAE."
Lognormal Analytics,Data Analyst,Statistics,Probability / Hypothesis Testing / Regression,Technical Round,What is the difference between Pearson and Spearman correlation? When would you use each?
Lognormal Analytics,Data Analyst,Statistics,Probability / Hypothesis Testing / Regression,Technical Round,You run an A/B test and get p=0.04 with n=50 per group. Should you ship the feature? Why or why not?
Lognormal Analytics,Data Analyst,Statistics,Probability / Hypothesis Testing / Regression,Technical Round,What is the difference between correlation and causation? Give an example of a spurious correlation.
Lognormal Analytics,Data Analyst,Statistics,Probability / Hypothesis Testing / Regression,Technical Round,Explain confidence intervals. How is a 95% CI interpreted in plain business language?
Lognormal Analytics,Backend Developer,Python / Backend,ORM / SQLAlchemy / API Design,Technical Round,Explain Python's GIL (Global Interpreter Lock). How does it affect multi-threaded programs?
Lognormal Analytics,Backend Developer,Python / Backend,ORM / SQLAlchemy / API Design,Technical Round,What is the difference between multiprocessing and multithreading in Python?
Lognormal Analytics,Backend Developer,Python / Backend,ORM / SQLAlchemy / API Design,Technical Round,How do you use decorators in Python? Write a timing decorator that logs function execution time.
Lognormal Analytics,Backend Developer,Python / Backend,ORM / SQLAlchemy / API Design,Technical Round,Explain the difference between generators and regular functions. Write a Fibonacci generator.
Lognormal Analytics,Backend Developer,Python / Backend,ORM / SQLAlchemy / API Design,Technical Round,What is SQLAlchemy? How is it different from raw sqlite3? Show how you'd query a Users table.
Lognormal Analytics,Backend Developer,Python / Backend,ORM / SQLAlchemy / API Design,Technical Round,How would you use Alembic for database schema migrations in a Python backend?
Lognormal Analytics,Backend Developer,Python / Backend,ORM / SQLAlchemy / API Design,Technical Round,Explain the difference between Flask and Django. Which would you pick for a lightweight analytics API?
Lognormal Analytics,Backend Developer,Python / Backend,ORM / SQLAlchemy / API Design,Technical Round,"Write a Python API endpoint (Flask/FastAPI) that accepts JSON, validates it, and inserts into PostgreSQL."
Lognormal Analytics,Backend Developer,Python / Backend,ORM / SQLAlchemy / API Design,Technical Round,What is an ORM? How does it help prevent SQL injection attacks?
Lognormal Analytics,Backend Developer,Python / Backend,ORM / SQLAlchemy / API Design,Technical Round,How do you handle bulk inserts efficiently in SQLAlchemy to avoid N+1 performance problems?
Lognormal Analytics,Backend Developer,Python / Backend,ORM / SQLAlchemy / API Design,Technical Round,What is cyclomatic complexity? Write a complex function and calculate its cyclomatic complexity.
Lognormal Analytics,Backend Developer,Python / Backend,ORM / SQLAlchemy / API Design,Technical Round,How would you implement a simple caching layer in a Python API using Redis?
Lognormal Analytics,Backend Developer,Security,XSS / CSRF / Auth / SQL Injection,Technical Round,What is SQL injection? Show a vulnerable Python code snippet and the corrected parameterized version.
Lognormal Analytics,Backend Developer,Security,XSS / CSRF / Auth / SQL Injection,Technical Round,What is XSS (Cross-Site Scripting)? How do you prevent it in a Python web app?
Lognormal Analytics,Backend Developer,Security,XSS / CSRF / Auth / SQL Injection,Technical Round,What is CSRF? How do you implement CSRF protection in Django or Flask?
Lognormal Analytics,Backend Developer,Security,XSS / CSRF / Auth / SQL Injection,Technical Round,Explain OAuth 2.0 and JWT. When would you use each?
