#,Company,Role,Topic,Sub-topic,Difficulty,Round,Question
26,Indium,Data Analyst,Tableau,Dashboard Design,Medium,R1 - Technical,Walk through your step-by-step approach to building a Tableau dashboard. What is the difference between a Live and Extract connection? How do you set up cross-sheet filter actions so that selecting a category in one worksheet automatically filters all other worksheets?
27,Indium,Data Analyst,Tableau,Chart Selection and Google Sheets,Easy,R1 - Technical,"When should you use a line chart vs bar chart vs scatter plot? For each of these scenarios — (a) DAU over time, (b) 3 product categories on a weekly basis, (c) sales seasonality over 5 years — choose the right chart type and justify. Also write a Google Sheets formula to extract distinct IDs and compute revenue sum per ID."
28,Indium,Data Analyst,Product Analytics,Core Metrics and KPI Definitions,Easy,R1 - Technical,"Define and explain the following metrics: CTR, Conversion Rate, CAC, ROI, AOV, Churn Rate, Retention Rate, DAU, and MAU. Given Impressions = 10000, Clicks = 500, Conversions = 50 — calculate CTR and Conversion Rate."
29,Indium,Data Analyst,Product Analytics,Revenue Decline RCA,Hard,R2 - Technical,"Sales and revenue have dropped by 20 percent over the past 2 months. Walk through a complete Root Cause Analysis: how would you structure the investigation, what data dimensions would you slice such as geography, product, channel, and time, and what actions would you recommend at each step?"
30,Indium,Data Analyst,Product Analytics,Metric Drop Investigation,Hard,R1 - Technical,"Uber app orders have suddenly dropped on a normal weekday with no external factors involved. How would you investigate using data? What dimensions would you analyse such as city, driver supply, app version, device, and time of day? How do you distinguish a real business drop from a data pipeline issue?"
31,Indium,Data Analyst,Product Analytics,CTR and Campaign Analysis,Medium,R1 - Technical,"CTR for an ad campaign has dropped. How do you diagnose this? Given a CTR trend that is spiking, dipping, flat, or volatile, how do you interpret each pattern? If you want to prove a coupon campaign is running successfully, what metrics and data would you use to validate it?"
32,Indium,Data Analyst,Product Analytics,A/B Testing,Medium,R1 - Technical,"Your website has implemented a new search box. How would you prove it is working effectively? Design an A/B test by specifying what parameters you would track, what your null hypothesis is, how long you would run the test, and how you would determine statistical significance using a p-value."
33,Indium,Data Analyst,Product Analytics,Cart Abandonment Analysis,Medium,R1 - Assessment,"Calculate the cart abandonment rate for an e-commerce platform. Explain what tables and fields you need, what the formula is using total carts vs orders placed, and how you would analyse customer behaviour after abandonment to generate actionable business insights."
34,Indium,Data Analyst,Product Analytics,Executive Dashboard Design,Medium,R2 - Technical,"You are building a real-time dashboard for the CEO of Uber, Swiggy, or Zomato. What KPIs would you include such as GMV, DAU, cancellation rate, average order value, and NPS? How would you prioritise metrics? If you could show only ONE metric to the CEO, what would it be and why?"
35,Indium,Data Analyst,Product Analytics,Market Expansion Analysis,Medium,R2 - Technical,"A brand successful in Bangalore wants to expand to Hyderabad. As an analyst, what key metrics and factors would you evaluate before approving the expansion such as market size, competition, demographics, logistics, and pricing? How would you structure your recommendation to leadership?"
36,Indium,Data Analyst,Product Analytics,Ride-hailing KPIs and Operations,Medium,R1 - Technical,"As a Data Analyst at a ride-hailing company: (a) what daily KPIs would you track such as demand, supply, acceptance rate, completion rate, ETA, and cancellations? (b) 30 percent of new drivers are absent during onboarding — what are your top 3 hypotheses and what data would you analyse to validate each one?"
37,Indium,Data Analyst,Product Analytics,Product Launch and Strategy,Hard,R3 - Technical,"You are a DA at Spotify. A new app update removes certain features. Design the launch strategy including rollout phases, A/B test design, and key metrics to track pre and post launch. After launch, feedback is 40 percent positive, 30 percent neutral, and 30 percent negative — what conclusions do you draw and what actions do you take?"
38,Indium,Data Analyst,Product Analytics,Fraud Detection,Hard,R1 - Technical,"As a DA at Uber: (a) what signals indicate fraudulent trips such as GPS spoofing, fake trips, repeated rider-driver pairs, and abnormal fare, distance, or duration? (b) Given a rides table with pickup time, drop time, and amount, how would you identify fraudulent activities and prioritise suspicious cases for review?"
39,Indium,Data Analyst,Product Analytics,Churn and Retention,Hard,R3 - Technical,Jio SIM churn rate is increasing. What factors could cause this? How would you measure churn rate precisely? What strategies would you recommend to reduce it? Also define what a Retention Metric is and give a concrete example from a ride-hailing context.
40,Indium,Data Analyst,Product Analytics,Fermi Estimation,Hard,R3 - Technical,"Answer these estimation questions: (a) How many flights can land at an airport with one runway in 24 hours? (b) Estimate the number of red Maruti Indica cars on Hyderabad roads in a day. (c) You have a Rs. 50 crore budget for a music event — what metrics such as capacity, ticket price, costs, and break-even would you evaluate before committing?"
41,Indium,Data Analyst,Product Analytics,Stakeholder Communication,Easy,R1 - Technical,"If the marketing, business, and product teams all request urgent reports at the same time, how do you prioritise? Your dashboard shows two different values for the same metric — how do you investigate and decide which is correct? How do you convert a SQL output into a meaningful business insight that operations teams can act on?"
42,Indium,Data Analyst,Statistics,"Mean, Median, Mode and Skew",Easy,R2 - Technical,"Differentiate between mean and median. If data is right-skewed, which measure of central tendency is more appropriate and why? If a constant r is added to every value in the dataset, how does mean, median, and mode each change? Explain how outliers impact each measure differently."
43,Indium,Data Analyst,Statistics,p-value and Statistical Testing,Medium,R2 - Technical,"What is a p-value and how is it interpreted in hypothesis testing? What statistical tests have you used such as t-test, chi-square, or ANOVA? How did each test help solve a business problem or reduce testing time? What type of data is required for each test?"
44,Indium,Data Analyst,Statistics,Missing Values and Data Validation,Medium,R1 - Technical,"How do you handle missing values in time series data using techniques such as imputation, forward fill, and backward fill? How do you validate data before sharing a report by checking for NULLs, duplicates, spikes, and broken joins? How do you handle a situation where data is not yet received before a scheduled dashboard delivery?"
45,Indium,Data Analyst,Statistics,"Percentages, Ratios and Logical Reasoning",Easy,R1 - Assessment,"Revenue increased from 4B to 4.5B. Someone claims this is a 15 percent increase — what is incorrect? Calculate cancellation percentage, conversion rate, Week-on-Week change, and Month-on-Month change. A company reports two different ROI values — how would you investigate which one is correct?"
46,Indium,Data Analyst,Data Warehousing,"Star Schema, Fact and Dimension Tables",Medium,R2 - Technical,What is a Star Schema vs Snowflake Schema? Which do you prefer in a large-scale analytical system and why? Define Fact Table and Dimension Table with examples drawn from a ride-hailing or e-commerce context.
47,Indium,Data Analyst,Data Warehousing,"SCDs, ETL and Query Optimisation",Hard,R2 - Technical,"Explain Slowly Changing Dimensions of Type 1, Type 2, and Type 3 with examples. Walk through the ETL process covering Extract, Transform, and Load stages. What are best practices for data validation and quality in ETL? If your ETL job suddenly takes 3 hours instead of 30 minutes, how would you troubleshoot and optimise it?"
48,Indium,Data Analyst,Data Warehousing,Cloud Warehouses and Partitioning,Medium,R2 - Technical,"Compare Snowflake, Amazon Redshift, and Google BigQuery on scalability, cost, and use cases. What is the purpose of Virtual Warehouses in Snowflake? How does data partitioning improve query performance in data warehouses? When would you use Parquet format in AWS and how do you optimise Apache Spark jobs?"
49,Indium,Data Analyst,Behavioural,Introduction and Project Walkthrough,Easy,R1 - Technical,"Tell me about yourself and walk me through your resume. Explain one project in detail covering: business problem, data sources used, approach taken, tools and technologies, how the output was used by stakeholders, and the business impact. How does your past experience map to a Data Analyst role?"
50,Indium,Data Analyst,Product Analytics,Data Modelling for Client Reporting,Hard,R3 - Technical,"PepsiCo wants a report on how their products perform on Uber Eats. (a) What fact and dimension tables would you use for data modelling? (b) What weekly metrics and KPIs would you track? (c) What Tableau dashboards would you build? Also address: if you need to build dashboards for 5 stakeholders with different budgets, how do you prioritise features and manage expectations?"
1,Indium,Backend Engineer,Java and OOP,Java 8 Plus Features,Medium,R1,"What are the major features introduced in Java 8? Explain Lambda expressions, Functional interfaces, Method references, the Optional keyword, and the Stream API. Also name key additions in Java 11 and Java 17 such as the var keyword, sealed classes, text blocks, and pattern matching."
2,Indium,Backend Engineer,Java and OOP,Streams API,Medium,R1,"Explain how the Java Streams API works. Walk through common operations: map, filter, reduce, collect, and flatMap. How do lazy evaluation and parallel streams work? Write code using lambdas and streams to filter employees earning above average salary and collect their names sorted alphabetically. What are the performance trade-offs vs traditional for-loops?"
3,Indium,Backend Engineer,Java and OOP,Multi-threading and Concurrency,Hard,R1,"Explain multi-threading in Java: how do you create threads using Thread class, Runnable, and Callable? What is the thread lifecycle? How do you handle race conditions using synchronized, volatile, and locks? What is the difference between wait/notify, Semaphore, and CountDownLatch? How would you instantly fix a memory leak in a running Java application?"
4,Indium,Backend Engineer,Java and OOP,String Immutability and Memory,Easy,R1,"Why is String immutable in Java? What are the implications for memory management using String Pool, heap, and stack? When should you use StringBuilder or StringBuffer instead? Explain how Java manages memory generally across heap, stack, and garbage collection."
5,Indium,Backend Engineer,Java and OOP,SOLID Principles and LLD,Hard,R1,"Explain each SOLID principle with a Java code example: Single Responsibility, Open/Closed, Liskov Substitution, Interface Segregation, and Dependency Inversion. Then walk through a Low-Level Design problem that applies these principles such as designing a Parking Lot or Vending Machine."
6,Indium,Backend Engineer,Java and OOP,Design Patterns,Hard,R1,"Explain and implement the Builder Design Pattern in Java with a real-world example such as building a User or Request object. When would you use Builder over a Constructor or Factory? Also explain the Singleton (thread-safe), Observer, and Strategy patterns with use cases for each."
7,Indium,Backend Engineer,Java and OOP,PostgreSQL and Java DB Integration,Medium,R1,"What are the key features of PostgreSQL that differentiate it from MySQL such as JSONB, CTEs, window functions, full-text search, and MVCC? How do you connect two different databases in a single Spring Boot application using @Primary and @Qualifier? What caching strategies such as Redis or in-memory caches are relevant to database-heavy Java applications?"
8,Indium,Backend Engineer,Spring Boot and Microservices,REST API Design,Medium,R1,"How do you design and implement a REST API using Spring Boot? Walk through @RestController, @RequestMapping, @PathVariable vs @RequestParam, @RequestBody, HTTP status codes 2xx, 4xx, 5xx, and exception handling with @ControllerAdvice. How would you implement filtering such as sorting by date or price and pagination on a large dataset endpoint?"
9,Indium,Backend Engineer,Spring Boot and Microservices,Scaling Microservices,Hard,R1,"How do you scale microservices horizontally? Cover load balancing strategies like Round Robin and least-connections, auto-scaling, stateless design, service discovery using Eureka or Consul, API Gateway using Zuul or Spring Cloud Gateway, and the role of Docker and Kubernetes. What are the challenges of distributed systems including consistency and the CAP theorem?"
10,Indium,Backend Engineer,Spring Boot and Microservices,Circuit Breaker and Resilience,Hard,R1,"What is a Circuit Breaker pattern and why is it used in microservices? Explain the three states — Closed, Open, and Half-Open — with an example using Resilience4j or Hystrix. What other resilience patterns exist such as Retry, Bulkhead, Rate Limiter, and Fallback? When would you choose each?"
11,Indium,Backend Engineer,Spring Boot and Microservices,Security,Hard,R1,"How do you secure a microservice? Cover JWT-based authentication, OAuth2 with Spring Security, HTTPS and TLS, API key management, rate limiting, and role-based access control. What is the difference between Authentication and Authorization? How do you prevent common vulnerabilities such as SQL injection, CSRF, and XSS?"
12,Indium,Backend Engineer,Spring Boot and Microservices,System Design — Collaborative Editor,Hard,R2,"Design the high-level system architecture for a real-time collaborative editor like Google Docs. Cover WebSockets vs HTTP polling, conflict resolution using Operational Transformation or CRDT, document versioning for storage design, scalability through sharding and pub-sub with Kafka or Redis, and consistency guarantees."
13,Indium,Backend Engineer,Database and SQL,"Indexing, Partitioning and Query Optimisation",Hard,R1,"Explain the difference between Indexing and Partitioning. What is a Composite Key vs a Composite Index and when would you use each? How does a B-tree index work internally? What are the trade-offs of over-indexing? How do you optimise a slow SQL query using EXPLAIN plan, covering indexes, avoiding SELECT *, and choosing proper joins?"
14,Indium,Backend Engineer,Database and SQL,Window Functions in SQL,Medium,R1,"Write a SQL query using the RANK window function to return the top 3 highest-paid employees in each department while handling ties. Explain the difference between RANK, DENSE_RANK, and ROW_NUMBER — when does each behave differently? Also write a CTE-based query to find the 2nd highest salary per department."
15,Indium,Backend Engineer,JavaScript,Event Loop and Async,Hard,R1 - Technical,"Explain how the JavaScript Event Loop works covering the call stack, Web APIs, callback queue, and microtask queue. Predict the output of: for(var i=0; i<3; i++) { setTimeout(function(){ console.log(i) }, 1000) } and explain why it prints 3, 3, 3 instead of 0, 1, 2. Show how to fix it using let, a closure, or an IIFE."
16,Indium,Backend Engineer,JavaScript,Promises and Async Await,Medium,R1 - Technical,"Explain Promises in JavaScript: what problem do they solve, what are the three states — pending, fulfilled, and rejected — and how does chaining work with .then, .catch, and .finally? What is the difference between Promise.all, Promise.race, and Promise.allSettled? How does async/await simplify promise handling?"
17,Indium,Backend Engineer,JavaScript,"this Keyword, Arrow Functions and Closures",Hard,R1 - Technical,"Predict the output of two code snippets: (a) an arrow function greet on a person object that logs this.name, (b) a regular function greet on a person object that logs this.name. Explain how 'this' is determined in arrow vs regular functions, what closures are, and how call, apply, and bind work with prototype."
18,Indium,Backend Engineer,JavaScript,"Type Coercion, Hoisting and ES6",Medium,R1 - Technical,"Explain: (a) Type Coercion — implicit vs explicit with 3 surprising examples such as '5' + 3 vs '5' - 3. (b) Type Inference in JavaScript. (c) Hoisting — how var, let, const, and function declarations are hoisted differently. Also cover key ES6 features including destructuring, spread and rest operators, template literals, default parameters, and modules."
19,Indium,Backend Engineer,JavaScript,"Debouncing, Throttling and Currying",Hard,R1 - Technical,"Explain the difference between debouncing and throttling with real-world use cases such as a search input vs a scroll handler. Write a debounce function from scratch. Implement: (a) a curried function that supports add(5)(6)(7)(8)(9)(10)() and returns the total, (b) a function that flattens a nested JavaScript object."
20,Indium,Backend Engineer,JavaScript,"JSON, Destructuring and Linked List",Medium,R1 - Technical,"Explain JSON objects and destructuring in JavaScript covering object and array destructuring, nested destructuring, default values, and renaming. Also solve: (a) find duplicates in a linked list, (b) find the maximum length subarray without repeating elements using the sliding window approach. Write the code and explain time complexity for each."
21,Indium,Backend Engineer,React,Functional Components and Hooks,Medium,R1,"Why are functional components preferred over class components? What is componentWillReceiveProps and what replaces it in functional components? Explain useState, useEffect, useContext, and useRef. What happens if you pass a string instead of an array as the second argument to useEffect? What are the rules of hooks?"
22,Indium,Backend Engineer,React,Performance — useCallback and useMemo,Hard,R1,"What is the difference between useCallback and useMemo? When should you use each? What problems do they solve such as unnecessary re-renders and expensive recalculations? How does React.memo work? Implement: (a) debouncing on a search input to optimise API calls, (b) lazy loading of components using React.lazy and Suspense."
23,Indium,Backend Engineer,React,Coding — Timer and Bank Account,Hard,R1,"Implement two React components from scratch: (a) A countdown timer that starts at 10 seconds, decrements every second, and has Start, Stop, and Reset buttons with correct state management. (b) A bank account system that handles 4 withdrawal scenarios — normal withdrawal, overdraft, concurrent withdrawals, and zero balance — with correct state updates and constraints."
24,Indium,Backend Engineer,React,Debugging and DevTools,Medium,R1,"You are given a broken React application with issues: components not rendering correctly, state updates not reflecting on the UI, and build or start errors. Walk through your debugging approach covering React DevTools, browser console, checking prop drilling vs Context, identifying stale closures, fixing useEffect dependency arrays, and resolving Webpack or build errors."
25,Indium,Backend Engineer,Behavioural,Challenges and Career Journey,Easy,R3 - Behavioral,"What are the biggest technical or professional challenges you have faced in your career or academic journey and how did you overcome them? Be specific: describe the situation, what made it difficult, your approach, and what you learned. How do you handle ambiguous technical requirements or disagreements with teammates?"
1,MountBlue,SDE - Q1,Patterns,Star & Number Patterns,Easy,R1 - Technical,"Write programs to print the following patterns for a given N: (a) Right-angled triangle using stars (*). (b) Pyramid using stars. (c) Inverted pyramid using stars. (d) Palindrome number rows pattern: 11 / 1221 / 123321. For each, explain your outer vs inner loop logic and what changes per row."
2,MountBlue,SDE - Q1,Patterns,Binary & Mixed Patterns,Medium,R1 - Technical,"Print the following pattern for N=5: *****1 / ****01 / ***010 / **1010 / *10101 (alternating stars and 0/1). Also print: (a) A right-triangle with a trailing 0 per row (1 0 / 1 1 0 / ...). (b) A pyramid of alternating bits where the starting bit flips each row. Explain how you decide whether each position gets a *, 0, or 1."
3,MountBlue,SDE - Q1,Patterns,Half-Triangle & Two-Pointer Print,Medium,R1 - Technical,"Write a program to print a half-triangle where numbers follow odd/even rules based on the row index. Also implement a two-pointer print on an array: print first, last, second, second-last alternately until all elements are printed. Discuss how this two-pointer pattern generalises to other array traversal problems."
4,MountBlue,SDE - Q1,Strings,Longest Substring — Sliding Window,Medium,R1 - Technical,"Write algorithms for: (a) Longest substring WITHOUT repeating characters using sliding window and HashMap — state time and space complexity. (b) Minimum number of insertions to make a string a palindrome. (c) Longest palindromic substring. For each, justify whether a sliding window or DP approach is preferred and why."
5,MountBlue,SDE - Q1,Strings,Vowel Sequences & Subsequences,Hard,R1 - Technical,"Solve: (a) Find the longest subsequence where vowels appear strictly in order A->E->I->O->U (duplicates allowed). (b) Count substrings containing ALL five vowels at least once with no consonants. (c) Count vowels appearing in correct alphabetical order a->e->i->o->u in a given string. For each, explain your approach (DP vs sliding window) and state time complexity."
6,MountBlue,SDE - Q1,Strings,String Scoring & Character Values,Medium,R1 - Technical,"Solve: (a) Given a sentence, compute the sum of alphabetical positions (a=1, z=26) per word — if the word is ALL CAPS, double the sum and print the total. (b) Scoring with sign: uppercase letters contribute positive value, lowercase contribute negative value — compute total score. (c) Modified base: a=29, b=30, ... — compute the summation. Discuss how to handle mixed-case and special characters."
7,MountBlue,SDE - Q1,Strings,Word Reordering & Transformation,Medium,R1 - Technical,"Solve: (a) Each word in a sentence contains exactly one digit representing its correct position — rearrange words accordingly. E.g., 'is2 Thi1s T4est 3a' becomes 'This is a Test'. (b) Expand '3Mat' to 'MMMaaattt' by applying the digit as a repeat count to each character. (c) Given a string of vowels with extras, keep each vowel exactly once and rearrange in order a, e, i, o, u. For each, identify the most suitable data structure and justify."
8,MountBlue,SDE - Q1,Strings,Anagrams & Palindrome Checks,Medium,R1 - Technical,"Solve: (a) Two numeric strings are 'similar' if they consist of the same digits with the same frequency — write an anagram-check function and state time complexity. (b) Given two character lists, construct the longest palindrome using elements from both lists — return its length. (c) Given an array of strings, determine if any combination or concatenation of strings forms a palindrome. State time complexity for each."
9,MountBlue,SDE - Q1,Strings,Stack-Based String Decoding,Hard,R1 - Technical,"Solve using a stack: (a) Decode a string where k[substring] means substring repeated k times — handle nested brackets, e.g., '3[a2[c]]' becomes 'accaccacc'. (b) Count valid parenthesis pairs in a string. (c) Score a balanced parentheses string using rules: ()=1, (A)=2*score(A), AB=score(A)+score(B). Walk through the stack state step-by-step for a nested input."
10,MountBlue,SDE - Q1,Arrays,Two Sum & HashMap Patterns,Medium,R1 - Technical,"Solve: (a) Two Sum — given an array and target, find indices of two numbers summing to target using a HashMap and state time and space complexity. (b) Longest subarray with sum equal to zero — use prefix sum with HashMap and explain the approach. (c) Maximum sum subsequence NOT equal to k — describe your greedy or DP strategy. For each, discuss how duplicate values and negative numbers affect correctness."
11,MountBlue,SDE - Q1,Arrays,Array Traversal & Special Elements,Medium,R1 - Technical,"Solve: (a) Reverse an array while keeping fixed 'constant' elements in place — only non-constant elements are reversed using two pointers. (b) Find all elements strictly greater than both their immediate left and right neighbours. (c) Return all elements of an m x n matrix in spiral order. For each, state time complexity and explain your loop termination logic."
12,MountBlue,SDE - Q1,Arrays,Greedy — Candy Distribution,Hard,R1 - Technical,"N children stand in a line with ratings. Distribute the minimum number of candies such that every child gets at least 1 candy and any child with a higher rating than a neighbour gets more candies than that neighbour. Solve using two passes (left-to-right then right-to-left), walk through ratings [1, 0, 2], and state time and space complexity. Follow-up: Solve the Coin Change problem — given denominations and target T, find the minimum number of coins using DP."
13,MountBlue,SDE - Q1,Arrays,Graph BFS — Rotting Oranges,Hard,R1 - Technical,"Given an m x n grid where 0=empty, 1=fresh orange, 2=rotten orange — every minute, rotten oranges rot all 4-directionally adjacent fresh oranges. Return the minimum minutes until no fresh orange remains, or -1 if impossible. Solve using multi-source BFS, walk through the queue state step-by-step, and state O(m*n) time and space complexity. Follow-up: A frog can jump from stone i to i+1 or i+2 — determine if it can reach the last stone using DP or greedy."
14,MountBlue,SDE - Q1,Dynamic Programming,LCS & Queue-Based Problems,Hard,R1 - Technical,"Solve: (a) Longest Common Subsequence (LCS) of two strings — write the DP solution, explain the recurrence relation, and state O(m*n) time and space complexity. (b) Extension: if you can pick at most k substrings from s1 and rearrange them, what is the maximum LCS length with s2? (c) Remove First Repeated Character — given [A, A, A, E, I, A], remove the first character that repeats later. Explain which data structure (queue or deque) you would use and why."
15,MountBlue,SDE - Q1,Dynamic Programming,Merge Intervals & Second Largest,Medium,R1 - Technical,"Solve: (a) Find the second largest element in an array — discuss O(n) single-pass, min-heap, and sorting approaches and state which is preferred in interviews. (b) Find the second non-repeating character in a string that may contain spaces — return the character that appears exactly twice. (c) Merge Intervals — given a list of intervals, merge all overlapping ones using a sort-and-scan approach and state O(n log n) complexity."
16,MountBlue,SDE - Q1,Java and OOP,Abstract Classes & Interfaces,Medium,R1 - Technical,"Explain and contrast: (a) Abstract class vs Interface — when to use each, covering constructors, multiple inheritance, default methods, and state. (b) Abstract method vs concrete method — what must a subclass implement? (c) Single Abstract Method (SAM) interface — what is it and how does it relate to Java lambda expressions? (d) The final keyword in Java — explain final variable, final method, and final class with usage examples and restrictions."
17,MountBlue,SDE - Q1,Java and OOP,Polymorphism — Overloading & Overriding,Medium,R1 - Technical,"Explain polymorphism in Java: (a) Method Overloading — same method name with different parameters, resolved at compile time. Write 3 distinct examples. (b) Method Overriding — same signature in a subclass, with rules on @Override, access modifiers, covariant return types, and exceptions. (c) Runtime polymorphism (dynamic dispatch) — write a code example using a parent reference pointing to a child object. Clearly distinguish compile-time from runtime polymorphism."
